# SOURCE FLAG
# xG values (xg_home, xg_away) are sourced from FBref (Opta), not from the app screenshot.
# All other fields (date, teams, score, possession, shots, corners, scorers, minutes) are read from the app.
# Possession: when app and FBref differ, use the average of the two.
# Do not treat xG as app-sourced data.
# Date format: DD/MM/YYYY for all SofaScore-sourced rows (pl-2020-*). FBref rows (pl-2019-*) remain YYYY-MM-DD.
id_odsp,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,xg_home,xg_away
pl-2019-0001,2019-08-09,Premier League,2019,england,Liverpool,Norwich,4,1,,,1.68,0.83
pl-2019-0002,2019-08-10,Premier League,2019,england,West Ham,Man City,0,5,,,1.20,3.18
pl-2019-0004,2019-08-10,Premier League,2019,england,Watford,Brighton,0,3,,,0.70,0.80
pl-2020-0001,12/09/2020,Premier League,2020,england,Fulham,Arsenal,0,3,,,,0.2,1.8
pl-2020-0002,12/09/2020,Premier League,2020,england,Crystal Palace,Southampton,1,0,,,,0.7,0.8
pl-2020-0003,12/09/2020,Premier League,2020,england,Liverpool,Leeds,4,3,,,,3.3,0.6
pl-2020-0004,12/09/2020,Premier League,2020,england,West Ham,Newcastle,0,2,,,,1.1,1.5
pl-2020-0005,13/09/2020,Premier League,2020,england,West Brom,Leicester,0,3,,,,0.5,2.2
pl-2020-0006,13/09/2020,Premier League,2020,england,Tottenham,Everton,0,1,,,,1.0,1.4
pl-2020-0007,14/09/2020,Premier League,2020,england,Sheffield Utd,Wolves,0,2,,,,0.6,1.1
pl-2020-0008,14/09/2020,Premier League,2020,england,Brighton,Chelsea,1,3,,,,1.4,1.2
pl-2020-0009,19/09/2020,Premier League,2020,england,Everton,West Brom,5,2,,,,3.4,0.3
pl-2020-0010,19/09/2020,Premier League,2020,england,Fulham,Leeds,4,3,,,,1.7,1.8
pl-2020-0011,19/09/2020,Premier League,2020,england,Crystal Palace,Man United,1,3,,,,1.1,1.6
pl-2020-0012,19/09/2020,Premier League,2020,england,Arsenal,West Ham,2,1,,,,1.4,1.9
pl-2020-0013,20/09/2020,Premier League,2020,england,Southampton,Tottenham,2,5,,,,1.5,2.5
pl-2020-0014,20/09/2020,Premier League,2020,england,Newcastle,Brighton,0,3,,,,0.5,1.6
pl-2020-0015,20/09/2020,Premier League,2020,england,Chelsea,Liverpool,0,2,,,,1.0,2.6
pl-2020-0016,20/09/2020,Premier League,2020,england,Leicester,Burnley,4,2,,,,1.4,1.9
pl-2020-0017,20/09/2020,Premier League,2020,england,Aston Villa,Sheffield Utd,1,0,,,,1.0,0.9
pl-2020-0018,21/09/2020,Premier League,2020,england,Wolves,Man City,1,3,,,,1.0,1.9
pl-2020-0019,26/09/2020,Premier League,2020,england,Brighton,Man United,2,3,,,,2.4,1.1
pl-2020-0020,26/09/2020,Premier League,2020,england,Crystal Palace,Everton,1,2,,,,0.4,2.0
pl-2020-0021,26/09/2020,Premier League,2020,england,West Brom,Chelsea,3,3,,,,1.0,2.2
