# SOURCE FLAG
# Goal events (time, player, side, situation) are sourced from Sofascore.
# No external source used for this file.
id_odsp,time,event_type,event_type2,side,event_team,player,is_goal,situation
pl-2019-0001,7,1,own_goal,1,Liverpool,Hanley,1,open_play
pl-2019-0001,19,1,goal,1,Liverpool,Salah,1,open_play
pl-2019-0001,28,1,goal,1,Liverpool,van Dijk,1,set_piece
pl-2019-0001,42,1,goal,1,Liverpool,Origi,1,open_play
pl-2019-0001,64,1,goal,2,Norwich,Pukki,1,open_play
pl-2019-0002,25,1,goal,2,Man City,Gabriel Jesus,1,open_play
pl-2019-0002,51,1,goal,2,Man City,Raheem Sterling,1,open_play
pl-2019-0002,75,1,goal,2,Man City,Raheem Sterling,1,open_play
pl-2019-0002,86,1,goal,2,Man City,Sergio Aguero,1,penalty
pl-2019-0002,90+1,1,goal,2,Man City,Raheem Sterling,1,open_play
pl-2019-0003,62,1,goal,1,Bournemouth,Chris Mepham,1,open_play
pl-2019-0003,88,1,goal,2,Sheffield Utd,Billy Sharp,1,open_play
